Team,Medal
China,NA
China,NA
Netherlands,NA
Netherlands,NA
Netherlands,NA
Netherlands,NA
Netherlands,NA
Netherlands,NA
United States,NA
United States,NA
United States,NA
United States,NA
United States,NA
United States,NA
United States,NA
United States,NA
United States,NA
United States,NA
United States,NA
United States,NA
United States,NA
United States,NA
United States,NA
United States,NA
Finland,NA
Finland,NA
Finland,NA
Finland,NA
Finland,NA
Finland,NA
Finland,Bronze
Finland,NA
Norway,NA
Norway,Gold
Norway,Bronze
Norway,NA
Norway,Silver
Norway,Bronze
Norway,NA
Norway,NA
Norway,Silver
Norway,NA
Norway,NA
Norway,NA
Norway,NA
Norway,NA
Norway,Gold
Norway,NA
Norway,NA
Norway,Gold
Norway,NA
Norway,Gold
Norway,Gold
Romania,NA
Norway,NA
Norway,NA
Norway,NA
Netherlands,NA
Netherlands,Bronze
Netherlands,Silver
Netherlands,NA
Finland,NA
Finland,NA
France,NA
Norway,NA
Netherlands,NA
Netherlands,NA
Netherlands,NA
Netherlands,NA
Netherlands,NA
Norway,Bronze
Norway,NA
Estonia,NA
Estonia,NA
Estonia,NA
Estonia,NA
Estonia,NA
Morocco,NA
Estonia,NA
Estonia,NA
Estonia,NA
Estonia,NA
Spain,NA
Spain,NA
Spain,NA
Spain,NA
Spain,NA
Spain,NA
Egypt,NA
Spain,NA
Bulgaria,NA
Italy,Bronze
Spain,Bronze
Chad,NA
Azerbaijan,Bronze
Russia,Silver
Russia,NA
Argentina,NA
Argentina,NA
Spain,NA
Cuba,NA
Cuba,NA
Cuba,NA
Belarus,NA
Belarus,Gold
France,Gold
France,Gold
France,Silver
Argentina,NA
Greece,NA
Cameroon,Gold
Turkey,NA
Spain,Gold
Greece,NA
Mexico,NA
Chile,NA
United States,Silver
Spain,Gold
Spain,NA
Spain,NA
Spain,Bronze
Soviet Union,NA
Chile,NA
Russia,Silver
Russia,NA
Italy,NA
Italy,NA
France,NA
France,Gold
Chile,NA
Greece,NA
Nicaragua,NA
Hungary,Silver
Algeria,NA
Algeria,NA
Italy,Gold
Italy,Gold
Italy,Gold
Italy,Gold
Italy,Gold
Italy,Silver
Italy,NA
Italy,NA
Italy,Gold
Italy,Gold
Italy,Silver
Kuwait,NA
Bahrain,NA
Pakistan,NA
Iraq,NA
Kuwait,NA
Pakistan,NA
Lebanon,NA
Lebanon,NA
Egypt,NA
Iraq,NA
Pakistan,NA
Qatar,NA
Pakistan,NA
Pakistan,NA
Pakistan,NA
Malaysia,NA
Iran,NA
Pakistan,NA
Pakistan,NA
Pakistan,NA
Iran,NA
Azerbaijan,NA
Azerbaijan,NA
Azerbaijan,NA
Italy,NA
Italy,NA
Netherlands,NA
Italy,NA
Iraq,NA
Canada,NA
Canada,NA
Ireland,NA
Ireland,NA
Australia,Bronze
South Africa,NA
United States,NA
United States,NA
United States,Bronze
Canada,NA
Canada,NA
United States,NA
Canada,NA
