Team,Bronze,Silver,Gold,Total,Participants,Norm
Afghanistan,0,0,0,0,3,0
Curacao,0,0,0,0,0,0
Albania,0,0,0,0,6,0
Algeria,0,2,0,2,74,0.026666667
Andorra,0,0,0,0,4,0
Angola,0,0,0,0,26,0
Antigua,0,0,0,0,0,0
Australia,25,34,23,82,510,0.160469667
Argentina,0,1,21,22,228,0.096069869
Armenia,0,3,1,4,34,0.114285714
Aruba,0,0,0,0,7,0
American Samoa,0,0,0,0,4,0
Australia,25,34,23,82,510,0.160469667
Austria,2,0,0,2,81,0.024390244
Azerbaijan,10,7,1,18,69,0.257142857
Bahamas,5,0,1,6,38,0.153846154
Bangladesh,0,0,0,0,7,0
Barbados,0,0,0,0,13,0
Burundi,0,1,0,1,10,0.090909091
Belgium,2,17,2,21,138,0.151079137
Benin,0,0,0,0,6,0
Bermuda,0,0,0,0,8,0
Bhutan,0,0,0,0,2,0
Bosnia and Herzegovina,0,0,0,0,11,0
Belize,0,0,0,0,3,0
Belarus,7,4,1,12,142,0.083916084
Bolivia,0,0,0,0,12,0
Botswana,0,0,0,0,14,0
Brazil,6,8,36,50,577,0.08650519
Bahrain,0,1,1,2,33,0.058823529
Brunei,0,0,0,0,3,0
Bulgaria,6,1,0,7,58,0.118644068
Burkina Faso,0,0,0,0,5,0
Central African Rep.,0,0,0,0,6,0
Cambodia,0,0,0,0,6,0
Canada,61,4,4,69,397,0.173366834
Cayman Islands,0,0,0,0,5,0
Congo,0,0,0,0,10,0
Chad,0,0,0,0,2,0
Chile,0,0,0,0,47,0
China,41,30,47,118,559,0.210714286
Ivory Coast,0,0,0,0,0,0
Cameroon,0,0,0,0,22,0
Dem. Rep. Congo,0,0,0,0,4,0
Cook Islands,0,0,0,0,9,0
Colombia,3,2,3,8,157,0.050632911
Comoros,0,0,0,0,4,0
Cape Verde,0,0,0,0,5,0
Costa Rica,0,0,0,0,12,0
Croatia,2,15,7,24,93,0.255319149
Greece,3,1,3,7,104,0.066666667
Cuba,4,2,5,11,143,0.076388889
Cyprus,0,0,0,0,21,0
Czechia,12,2,1,15,135,0.110294118
Denmark,16,10,15,41,143,0.284722222
Djibouti,0,0,0,0,8,0
Dominica,0,0,0,0,2,0
Dominican Rep.,1,0,0,1,30,0.032258065
Ecuador,0,0,0,0,40,0
Egypt,3,0,0,3,137,0.02173913
Eritrea,0,0,0,0,12,0
El Salvador,0,0,0,0,10,0
Spain,17,19,9,45,363,0.123626374
Estonia,4,0,0,4,49,0.08
Ethiopia,5,2,1,8,38,0.205128205
Russia,35,28,52,115,406,0.282555283
Fiji,0,0,13,13,53,0.240740741
Finland,1,0,0,1,67,0.014705882
France,21,55,20,96,504,0.19009901
Germany,67,43,49,159,532,0.298311445
Micronesia,0,0,0,0,0,0
Gabon,0,0,0,0,6,0
Gambia,0,0,0,0,4,0
