Team,Continent,Total Male,Total Female,Male Win,Female Win,Total Medals
China,Asia,1773,2394,294,569,863
Netherlands,Europe,1254,1063,238,278,516
United States of America,Americas,4057,3275,1024,1157,2181
Finland,Europe,978,574,197,67,264
Norway,Europe,1142,711,204,183,387
Romania,Europe,932,873,61,169,230
France,Europe,2791,1706,415,167,582
Estonia,Europe,513,219,21,4,25
Morocco,Africa,308,84,14,3,17
Spain,Europe,1868,1184,253,133,386
Egypt,Africa,539,169,9,2,11
Italy,Europe,2862,1675,430,172,602
Chad,Africa,11,10,0,0,0
Azerbaijan,Asia,212,71,34,10,44
Russia,Europe,2674,2188,595,553,1148
Argentina,Americas,893,463,113,70,183
Cuba,Americas,832,422,240,83,323
Belarus,Europe,993,794,62,77,139
Greece,Europe,832,600,34,42,76
Cameroon,Africa,97,80,18,2,20
Turkey,Asia,395,231,38,10,48
Mexico,Americas,559,329,30,15,45
Chile,Americas,231,90,22,0,22
Nicaragua,Americas,50,17,0,0,0
Hungary,Europe,1186,858,155,101,256
Algeria,Africa,296,91,12,3,15
Bahrain,Asia,65,31,0,3,3
Pakistan,Asia,146,11,16,0,16
Iraq,Asia,64,7,0,0,0
Qatar,Asia,146,7,5,0,5
Iran,Asia,300,32,37,1,38
Canada,Africa,2404,2197,335,407,742
Ireland,Europe,402,180,11,7,18
Australia,Oceania,2312,1957,458,431,889
South Africa,Africa,671,370,45,11,56
Eritrea,Africa,37,6,1,0,1
Libya,Africa,32,6,0,0,0
Sudan,Africa,29,10,1,0,1
Belgium,Europe,513,287,29,20,49
Djibouti,Africa,24,5,0,0,0
Palestine,Oceania,13,8,0,0,0
Comoros,Africa,11,8,0,0,0
Kazakhstan,Asia,880,549,56,21,77
Brunei,Asia,8,2,0,0,0
Kuwait,Oceania,121,4,2,0,2
Malaysia,Asia,210,78,12,4,16
United Arab Emirates,Asia,90,7,2,0,2
Indonesia,Asia,157,111,26,12,38
Singapore,Asia,102,119,1,7,8
Uzbekistan,Asia,344,151,32,2,34
Kyrgyzstan,Oceania,173,54,3,0,3
Tajikistan,Asia,54,16,3,1,4
Unified Team,Europe,538,326,162,117,279
Japan,Asia,2280,1849,255,226,481
Ethiopia,Africa,110,90,20,23,43
Germany,Europe,3293,2392,710,555,1265
Sweden,Europe,1366,1074,222,142,364
United States of America Virgin Islands,Americas,102,39,0,0,0
Sri Lanka,Asia,46,40,0,1,1
Armenia,Asia,183,38,15,1,16
Cote d'Ivoire,Americas,63,38,1,1,2
Kenya,Africa,256,140,48,21,69
Nigeria,Africa,300,259,73,19,92
Brazil,Americas,1347,982,217,135,352
Ukraine,Europe,1379,1180,94,105,199
Ghana,Africa,141,29,20,0,20
Latvia,Oceania,596,192,30,2,32
Syria,Europe,42,13,1,1,2
Lebanon,Oceania,51,31,0,0,0
Mali,Africa,39,26,0,0,0
Switzerland,Europe,1371,752,114,69,183
India,Asia,383,191,9,5,14
Georgia,Asia,214,72,31,1,32
Slovenia,Europe,697,414,31,17,48
Croatia,Europe,640,236,134,15,149
Guyana,Americas,28,13,0,0,0
Portugal,Europe,496,207,9,4,13
Bulgaria,Europe,766,470,46,41,87
Poland,Europe,1507,924,114,61,175
Angola,Africa,101,116,0,0,0
Venezuela,Oceania,346,175,3,4,7
Colombia,Americas,372,245,9,13,22
Bangladesh,Asia,29,13,0,0,0
Jordan,Asia,30,20,1,0,1
Somalia,Africa,9,5,0,0,0
Saudi Arabia,Asia,137,5,6,0,6
Puerto Rico,Americas,300,101,4,1,5
United Kingdom,Asia,2138,1585,345,219,564
Uganda,Africa,68,27,2,0,2
Tunisia,Africa,275,84,5,3,8
Honduras,Americas,107,29,0,0,0
El Salvador,Americas,33,37,0,0,0
Turkmenistan,Asia,32,22,0,0,0
Mauritius,Africa,78,48,1,0,1
Seychelles,Africa,59,16,0,0,0
Czechoslovakia,Europe,281,136,35,0,35
Czechia,Europe,1178,696,104,40,144
Niger,Africa,20,10,1,0,1
Saint Kitts and Nevis,Americas,25,17,0,0,0
New Zealand,Oceania,820,591,63,50,113
Liberia,Oceania,20,9,0,0,0
Suriname,Americas,26,18,1,0,1
Nepal,Asia,23,21,0,0,0
Mongolia,Asia,147,88,11,4,15
Palau,Oceania,12,13,0,0,0
Lithuania,Europe,416,208,51,10,61
Namibia,Africa,49,28,4,0,4
American Samoa,Oceania,24,7,0,0,0
Togo,Africa,29,11,1,0,1
Samoa,Oceania,31,12,0,0,0
Rwanda,Africa,28,14,0,0,0
Dominica,Americas,12,7,0,0,0
Benin,Africa,27,11,0,0,0
Haiti,Americas,38,12,0,0,0
Denmark,Europe,574,445,94,75,169
Malta,Europe,26,27,0,0,0
Austria,Europe,1204,519,144,46,190
Dominican Rep.,Americas,126,61,6,0,6
Panama,Americas,35,20,1,0,1
Belize,Americas,28,9,0,0,0
Trinidad and Tobago,Americas,141,66,22,0,22
Paraguay,Americas,71,23,17,0,17
Uruguay,Americas,108,18,1,0,1
Maldives,Asia,28,12,0,0,0
South Korea,Asia,1836,1077,270,221,491
Mauritania,Africa,15,5,0,0,0
Peru,Americas,90,73,1,0,1
Bermuda,Americas,56,29,0,0,0
Serbia and Montenegro,Europe,263,58,60,4,64
Saint Vincent and the Grenadines,Americas,26,10,0,0,0
Cyprus,Asia,116,47,1,0,1
Papua New Guinea,Oceania,54,18,0,0,0
Yemen,Asia,28,4,0,0,0
Individual Olympic Athletes,Asia,65,29,3,2,5
Oman,Asia,27,4,0,0,0
Fiji,Oceania,104,42,13,0,13
Vanuatu,Oceania,19,10,0,0,0
Jamaica,Americas,238,239,43,82,125
Moldova,Oceania,170,64,7,1,8
Guatemala,Americas,127,41,1,0,1
Israel,Asia,248,140,7,2,9
Serbia,Europe,251,139,57,28,85
Monaco,Europe,72,17,0,0,0
British Virgin Islands,Europe,21,5,0,0,0
Iceland,Europe,188,85,14,1,15
Costa Rica,Americas,71,32,0,3,3
Central African Rep.,Americas,32,16,0,0,0
Madagascar,Africa,31,42,0,0,0
Bosnia and Herzegovina,Europe,95,39,0,0,0
Guam,Oceania,64,21,0,0,0
Philippines,Asia,100,43,2,1,3
Cayman Islands,Americas,45,10,0,0,0
Slovakia,Europe,694,361,37,10,47
Barbados,Americas,95,23,1,0,1
Ecuador,Americas,118,56,2,0,2
Guinea Bissau,Africa,13,8,0,0,0
Sierra Leone,Africa,30,18,0,0,0
Timor Leste,Asia,4,5,0,0,0
Dem. Rep. Congo,Europe,34,21,0,0,0
Gabon,Africa,44,12,1,0,1
Bahamas,Americas,137,84,22,14,36
San Marino,Europe,52,12,0,0,0
Thailand,Asia,217,184,13,14,27
Laos,Oceania,23,9,0,0,0
Botswana,Africa,56,7,1,0,1
Refugee Olympic Athletes,Asia,7,5,0,0,0
North Korea,Oceania,198,303,22,22,44
Mozambique,Africa,22,14,0,2,2
Solomon Islands,Oceania,10,9,0,0,0
Cape Verde,Africa,9,9,0,0,0
Equatorial Guinea,Africa,19,9,0,0,0
Bolivia,Asia,47,31,0,0,0
Andorra,Europe,86,37,0,0,0
Antigua and Barbuda,Americas,39,25,0,0,0
Luxembourg,Europe,61,35,2,0,2
Zimbabwe,Africa,84,63,0,7,7
Grenada,Americas,28,13,2,0,2
Senegal,Africa,109,68,0,0,0
Hong Kong,Asia,184,163,2,2,4
Saint Lucia,Americas,15,13,0,0,0
Federated States of Micronesia,Europe,15,11,0,0,0
Myanmar,Asia,17,21,0,0,0
Afghanistan,Asia,15,5,2,0,2
Yugoslavia,Asia,53,7,0,0,0
Guinea,Africa,25,15,0,0,0
Taiwan,Asia,292,281,28,18,46
Sao Tome and Principe,Africa,9,6,0,0,0
Congo,Africa,31,16,0,0,0
Macedonia,Asia,51,33,1,0,1
Tonga,Oceania,24,8,1,0,1
Montenegro,Europe,58,36,0,14,14
Gambia,Africa,28,6,0,0,0
Tanzania,Asia,41,10,0,0,0
Mistral Hojris,Oceania,0,1,0,0,0
Cook Islands,Oceania,18,14,0,0,0
Albania,Europe,39,26,0,0,0
Relampago,Asia,0,1,0,0,0
Swaziland,Africa,29,8,0,0,0
Burundi,Africa,25,14,1,1,2
Aruba,Americas,21,9,0,0,0
Liechtenstein,Europe,95,29,0,0,0
Whitini Star,Africa,1,0,0,0,0
Nauru,Oceania,11,2,0,0,0
Lucky Star,Europe,0,1,0,0,0
Briar,Americas,1,0,0,0,0
Gran Gesto,Europe,0,1,0,0,0
Zambia,Africa,41,14,1,0,1
Vietnam,Asia,42,62,3,1,4
Elvis Va,Americas,0,1,0,1,1
Netherlands Antilles,Europe,26,2,0,0,0
Cambodia,Asia,14,15,0,0,0
Malawi,Africa,14,10,0,0,0
Calimucho,Africa,0,1,0,0,0
Bhutan,Asia,10,14,0,0,0
Marshall Islands,Oceania,7,7,0,0,0
Kiribati,Oceania,8,3,0,0,0
Oxalis,Asia,1,0,0,0,0
Tuvalu,Oceania,5,2,0,0,0
Kosovo,Oceania,3,5,0,1,1
South Sudan,Africa,2,1,0,0,0
Don Schufro,Americas,1,0,1,0,1
Burkina Faso,Africa,21,13,0,0,0
Lancet,Oceania,0,1,0,0,0
Whisper,Africa,1,0,0,0,0
Clearwater,Americas,0,1,0,1,1
Lesotho,Oceania,31,15,0,0,0
Bonaparte,Americas,0,1,0,1,1
Mythilus,Asia,0,1,0,0,0
Rambo,Asia,0,1,0,0,0
Floresco,Europe,1,0,0,0,0
Brentina,Americas,0,1,0,0,0
Nadine,Asia,1,0,1,0,1
Pop Art,Europe,0,1,0,0,0
Quando Quando,Asia,0,1,0,0,0
Diabolo St Maurice,Europe,1,0,0,0,0
Ravel,Asia,1,0,0,0,0
Notavel,Europe,1,0,0,0,0
Galopin De La Font,Africa,1,0,0,0,0
Orion,Asia,0,1,0,0,0
Greenoaks Dundee,Americas,1,0,0,0,0
Sunrise,Africa,0,1,0,1,1
Salinero,Americas,0,1,0,1,1
Satchmo,Africa,0,1,0,1,1
Solos Carex,Oceania,0,1,0,0,0
Dow Jones,Americas,0,1,0,0,0
Digby,Europe,0,1,0,1,1
