Team,Bronze,Silver,Gold,Total,Participants,Norm
China,225,318,320,863,4167,0.207103432
Netherlands,145,199,172,516,2317,0.22270177
United States of America,561,636,984,2181,7332,0.297463175
Finland,173,68,23,264,1552,0.170103093
Norway,124,114,149,387,1853,0.208850513
Romania,85,63,82,230,1805,0.127423823
France,224,189,169,582,4497,0.129419613
Estonia,12,6,7,25,732,0.034153005
Morocco,10,4,3,17,392,0.043367347
Spain,112,175,99,386,3052,0.126474443
Egypt,7,3,1,11,708,0.015536723
Italy,244,203,155,602,4537,0.132686797
Chad,0,0,0,0,21,0
Azerbaijan,25,12,7,44,283,0.155477032
Russia,399,360,389,1148,4862,0.236116824
Argentina,61,52,70,183,1356,0.134955752
Cuba,79,103,141,323,1254,0.257575758
Belarus,71,44,24,139,1787,0.077783996
Greece,23,32,21,76,1432,0.053072626
Cameroon,0,0,20,20,177,0.11299435
Turkey,18,14,16,48,626,0.076677316
Mexico,12,14,19,45,888,0.050675676
Chile,18,1,3,22,321,0.068535826
Nicaragua,0,0,0,0,67,0
Hungary,58,87,111,256,2044,0.125244618
Algeria,6,4,5,15,387,0.03875969
Bahrain,1,1,1,3,96,0.03125
Pakistan,16,0,0,16,157,0.101910828
Iraq,0,0,0,0,71,0
Qatar,4,1,0,5,153,0.032679739
Iran,14,10,14,38,332,0.114457831
Canada,210,244,288,742,4601,0.161269289
Ireland,6,7,5,18,582,0.030927835
Australia,352,305,232,889,4269,0.208245491
South Africa,22,19,15,56,1041,0.053794428
Eritrea,1,0,0,1,43,0.023255814
Libya,0,0,0,0,38,0
Sudan,0,1,0,1,39,0.025641026
Belgium,15,28,6,49,800,0.06125
Djibouti,0,0,0,0,29,0
Palestine,0,0,0,0,21,0
Comoros,0,0,0,0,19,0
Kazakhstan,32,25,20,77,1429,0.053883835
Brunei,0,0,0,0,10,0
Kuwait,2,0,0,2,125,0.016
Malaysia,5,11,0,16,288,0.055555556
United Arab Emirates,1,0,1,2,97,0.020618557
Indonesia,13,14,11,38,268,0.141791045
Singapore,4,3,1,8,221,0.036199095
Uzbekistan,17,7,10,34,495,0.068686869
Kyrgyzstan,2,1,0,3,227,0.013215859
Tajikistan,2,1,1,4,70,0.057142857
Unified Team,81,71,127,279,864,0.322916667
Japan,211,175,95,481,4129,0.116493098
Ethiopia,18,8,17,43,200,0.215
Germany,435,369,461,1265,5685,0.222515391
Sweden,88,181,95,364,2440,0.149180328
United States of America Virgin Islands,0,0,0,0,141,0
Sri Lanka,0,1,0,1,86,0.011627907
Armenia,9,5,2,16,221,0.07239819
Cote d'Ivoire,1,0,1,2,101,0.01980198
Kenya,20,29,20,69,396,0.174242424
Nigeria,40,29,23,92,559,0.164579606
Brazil,129,123,100,352,2329,0.151137827
Ukraine,100,52,47,199,2559,0.077764752
Ghana,20,0,0,20,170,0.117647059
Latvia,12,17,3,32,788,0.040609137
Syria,1,0,1,2,55,0.036363636
Lebanon,0,0,0,0,82,0
Mali,0,0,0,0,65,0
Switzerland,76,56,51,183,2123,0.086198775
India,9,4,1,14,574,0.024390244
Georgia,18,6,8,32,286,0.111888112
Slovenia,27,13,8,48,1111,0.04320432
Croatia,37,54,58,149,876,0.170091324
Guyana,0,0,0,0,41,0
Portugal,6,5,2,13,703,0.018492176
Bulgaria,41,31,15,87,1236,0.07038835
Poland,67,69,39,175,2431,0.071986837
Angola,0,0,0,0,217,0
Venezuela,5,1,1,7,521,0.013435701
Colombia,11,6,5,22,617,0.035656402
Bangladesh,0,0,0,0,42,0
Jordan,0,0,1,1,50,0.02
Somalia,0,0,0,0,14,0
Saudi Arabia,5,1,0,6,142,0.042253521
Puerto Rico,3,1,1,5,401,0.012468828
United Kingdom,187,178,199,564,3723,0.151490733
Uganda,1,0,1,2,95,0.021052632
Tunisia,5,1,2,8,359,0.022284123
Honduras,0,0,0,0,136,0
El Salvador,0,0,0,0,70,0
Turkmenistan,0,0,0,0,54,0
Mauritius,1,0,0,1,126,0.007936508
Seychelles,0,0,0,0,75,0
Czechoslovakia,28,3,4,35,417,0.083932854
Czechia,66,36,42,144,1874,0.076840982
Niger,0,1,0,1,30,0.033333333
Saint Kitts and Nevis,0,0,0,0,42,0
