Team,1992,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,Avg Summer,Avg Winter
China,85,3,106,14,79,16,94,13,184,19,125,12,113,506.5714286,103.5
Netherlands,37,4,73,11,79,8,77,13,58,11,69,29,47,281,58.33333333
United States of America,238,19,259,34,242,84,263,52,317,97,248,64,264,780.7142857,311.1666667
Finland,20,30,4,58,5,13,2,41,5,47,5,33,1,101.4285714,140.3333333
Norway,47,30,23,40,43,41,7,23,22,39,17,36,19,115.5714286,174
Romania,53,0,38,0,46,0,39,0,22,0,16,0,16,220.7142857,43.33333333
France,69,11,51,15,66,15,53,15,77,14,82,18,96,491,176.6666667
Estonia,3,0,0,0,3,3,3,3,3,1,2,0,4,53.28571429,59.83333333
Morocco,3,0,2,0,5,0,3,0,2,0,1,0,1,55.14285714,1
Spain,70,0,66,0,42,0,30,0,70,0,63,0,45,411,29.16666667
Egypt,0,0,0,0,0,0,5,0,1,0,2,0,3,101.1428571,0
Italy,66,32,71,17,65,21,104,25,42,5,68,14,72,463.1428571,215.8333333
Chad,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Azerbaijan,0,0,1,0,3,0,5,0,7,0,10,0,18,37.85714286,3
Russia,0,36,115,52,187,38,189,41,142,25,140,68,115,471.7142857,260
Argentina,2,0,20,0,20,0,49,0,51,0,19,0,22,178.1428571,18.16666667
Cuba,69,0,55,0,65,0,62,0,47,0,14,0,11,179.1428571,0
Belarus,0,2,23,2,22,1,15,1,29,3,23,6,12,178,90.16666667
Greece,2,0,8,0,18,0,31,0,7,0,3,0,7,193,13.5
Cameroon,0,0,0,0,18,0,1,0,1,0,0,0,0,25,0.333333333
Turkey,6,0,6,0,5,0,11,0,7,0,5,0,8,83.14285714,7.333333333
Mexico,1,0,1,0,6,0,4,0,4,0,24,0,5,125.8571429,1.166666667
Chile,0,0,0,0,17,0,4,0,1,0,0,0,0,36.85714286,10.5
Nicaragua,0,0,0,0,0,0,0,0,0,0,0,0,0,9.571428571,0
Hungary,45,0,43,0,53,0,40,0,27,0,26,0,22,263.5714286,33.16666667
Algeria,2,0,3,0,5,0,0,0,2,0,1,0,2,54.71428571,0.666666667
Bahrain,0,0,0,0,0,0,0,0,0,0,1,0,2,13.71428571,0
Pakistan,16,0,0,0,0,0,0,0,0,0,0,0,0,22.14285714,0.333333333
Iraq,0,0,0,0,0,0,0,0,0,0,0,0,0,10.14285714,0
Qatar,1,0,0,0,1,0,0,0,0,0,2,0,1,21.85714286,0
Iran,3,0,3,0,4,0,6,0,2,0,12,0,8,44.57142857,3.333333333
Canada,80,37,50,49,31,74,17,69,35,90,55,86,69,436.7142857,257.3333333
Ireland,2,0,4,0,1,0,0,0,3,0,5,0,3,77.57142857,6.5
Australia,57,4,132,1,183,2,157,2,149,3,114,3,82,567,50
South Africa,3,0,5,0,5,0,10,0,1,0,9,0,23,145.7142857,3.5
Eritrea,0,0,0,0,0,0,1,0,0,0,0,0,0,6.142857143,0
Libya,0,0,0,0,0,0,0,0,0,0,0,0,0,5.428571429,0
Sudan,0,0,0,0,0,0,0,0,1,0,0,0,0,5.571428571,0
Belgium,3,0,6,1,7,0,3,0,5,0,3,0,21,106.7142857,8.833333333
Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,0,4.142857143,0
Palestine,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Comoros,0,0,0,0,0,0,0,0,0,0,0,0,0,2.714285714,0
Kazakhstan,0,3,11,2,7,0,8,0,13,1,13,1,18,118.7142857,99.66666667
Brunei,0,0,0,0,0,0,0,0,0,0,0,0,0,1.428571429,0
Kuwait,0,0,0,0,1,0,0,0,0,0,1,0,0,17.85714286,0
Malaysia,2,0,3,0,0,0,0,0,1,0,2,0,8,41.14285714,0
United Arab Emirates,0,0,0,0,0,0,1,0,0,0,0,0,1,13.85714286,0
Indonesia,6,0,6,0,8,0,5,0,7,0,2,0,4,38.28571429,0
Singapore,0,0,0,0,0,0,0,0,3,0,4,0,1,31.57142857,0
Uzbekistan,0,1,2,0,4,0,5,0,6,0,3,0,13,66.28571429,5.166666667
Kyrgyzstan,0,0,0,0,1,0,0,0,2,0,0,0,0,30.28571429,2.5
Tajikistan,0,0,0,0,0,0,0,0,2,0,1,0,1,8.571428571,1.666666667
Unified Team,279,0,0,0,0,0,0,0,0,0,0,0,0,123.4285714,0
Japan,59,10,42,13,44,2,93,1,51,7,84,11,64,434.5714286,181.1666667
Ethiopia,3,0,3,0,8,0,7,0,7,0,7,0,8,28.28571429,0.333333333
Germany,236,40,124,44,118,61,149,54,96,54,94,36,159,604.5714286,242.1666667
Sweden,42,24,31,7,32,26,12,64,7,18,22,51,28,213.7142857,157.3333333
United States of America Virgin Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4.833333333
Sri Lanka,0,0,0,0,1,0,0,0,0,0,0,0,0,12.28571429,0
Armenia,0,0,2,0,1,0,0,0,6,0,3,0,4,24.85714286,7.833333333
Cote d'Ivoire,0,0,0,0,0,0,0,0,0,0,0,0,2,14.42857143,0
Kenya,8,0,8,0,7,0,7,0,15,0,11,0,13,56,0.666666667
Nigeria,11,0,24,0,8,0,8,0,23,0,0,0,18,79.85714286,0
Brazil,14,0,63,0,48,0,40,0,78,0,59,0,50,325.8571429,8
Ukraine,0,2,34,1,35,0,47,3,31,0,26,5,15,282.7142857,96.66666667
Ghana,20,0,0,0,0,0,0,0,0,0,0,0,0,24.14285714,0.166666667
Latvia,3,0,1,0,3,0,4,1,3,3,3,11,0,53.42857143,69
Syria,0,0,1,0,0,0,1,0,0,0,0,0,0,7.857142857,0
Lebanon,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3.166666667
Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,9.285714286,0
Switzerland,8,16,11,14,14,24,7,21,11,12,4,30,11,163.1428571,163.5
India,0,0,1,0,1,0,1,0,3,0,6,0,2,80.28571429,2
Georgia,0,0,2,0,6,0,4,0,6,0,7,0,7,35.28571429,6.5
Slovenia,6,3,2,0,3,4,5,0,5,3,5,8,4,81.14285714,90.5
Croatia,15,0,28,0,10,4,21,3,5,3,35,1,24,102.1428571,26.83333333
Guyana,0,0,0,0,0,0,0,0,0,0,0,0,0,5.857142857,0
Portugal,0,0,3,0,2,0,3,0,2,0,2,0,1,98.71428571,2
Bulgaria,17,0,21,1,13,3,17,1,5,0,2,0,7,139.7142857,43
Poland,46,0,22,0,24,2,12,2,20,8,12,11,16,270.4285714,89.66666667
Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0
Venezuela,0,0,0,0,0,0,2,0,1,0,1,0,3,73.42857143,1.166666667
Colombia,1,0,0,0,1,0,2,0,2,0,8,0,8,87.85714286,0.333333333
Bangladesh,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
Jordan,0,0,0,0,0,0,0,0,0,0,0,0,1,7.142857143,0
Somalia,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Saudi Arabia,0,0,0,0,2,0,0,0,0,0,4,0,0,20.28571429,0
Puerto Rico,1,0,1,0,0,0,0,0,0,0,2,0,1,55.42857143,2.166666667
United Kingdom,50,3,26,4,54,6,57,1,81,1,126,10,145,478.1428571,62.66666667
Uganda,0,0,1,0,0,0,0,0,0,0,1,0,0,13.57142857,0
Tunisia,0,0,1,0,0,0,0,0,1,0,3,0,3,51.28571429,0
Honduras,0,0,0,0,0,0,0,0,0,0,0,0,0,19.42857143,0
El Salvador,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
Turkmenistan,0,0,0,0,0,0,0,0,0,0,0,0,0,7.714285714,0
Mauritius,0,0,0,0,0,0,0,0,1,0,0,0,0,18,0
Seychelles,0,0,0,0,0,0,0,0,0,0,0,0,0,10.71428571,0
Czechoslovakia,35,0,0,0,0,0,0,0,0,0,0,0,0,59.57142857,0
Czechia,0,0,13,23,9,3,13,27,7,9,14,11,15,136.2857143,153.3333333
Niger,0,0,0,0,0,0,0,0,0,0,0,0,1,4.285714286,0
Saint Kitts and Nevis,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
New Zealand,16,0,9,0,4,0,6,0,15,0,27,0,36,187.4285714,16.5
Liberia,0,0,0,0,0,0,0,0,0,0,0,0,0,4.142857143,0
Suriname,1,0,0,0,0,0,0,0,0,0,0,0,0,6.285714286,0
Nepal,0,0,0,0,0,0,0,0,0,0,0,0,0,5.571428571,0.833333333
Mongolia,2,0,1,0,0,0,1,0,4,0,5,0,2,31.42857143,2.5
Palau,0,0,0,0,0,0,0,0,0,0,0,0,0,3.571428571,0
Lithuania,13,0,11,0,17,0,3,0,5,0,5,0,7,75,16.5
Namibia,2,0,2,0,0,0,0,0,0,0,0,0,0,11,0
American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,4.142857143,0.333333333
Togo,0,0,0,0,0,0,0,0,1,0,0,0,0,5.285714286,0.5
Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,6.142857143,0
Rwanda,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
Dominica,0,0,0,0,0,0,0,0,0,0,0,0,0,2.571428571,0.166666667
Benin,0,0,0,0,0,0,0,0,0,0,0,0,0,5.428571429,0
Haiti,0,0,0,0,0,0,0,0,0,0,0,0,0,7.142857143,0
Denmark,14,0,23,5,25,0,29,0,16,0,16,0,41,134,13.5
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,7.285714286,0.333333333
Austria,35,12,3,20,4,20,8,30,3,26,0,27,2,116.2857143,151.5
Dominican Rep.,0,0,0,0,0,0,1,0,2,0,2,0,1,26.71428571,0
Panama,0,0,0,0,0,0,0,0,1,0,0,0,0,7.857142857,0
Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,5.285714286,0
Trinidad and Tobago,0,0,2,0,2,0,1,0,6,0,10,0,1,28.57142857,1.166666667
Paraguay,0,0,0,0,0,0,17,0,0,0,0,0,0,13.28571429,0.166666667
Uruguay,0,0,0,0,1,0,0,0,0,0,0,0,0,17.85714286,0.166666667
Maldives,0,0,0,0,0,0,0,0,0,0,0,0,0,5.714285714,0
South Korea,56,9,66,12,73,7,52,19,78,18,61,14,26,343.2857143,85
Mauritania,0,0,0,0,0,0,0,0,0,0,0,0,0,2.857142857,0
Peru,1,0,0,0,0,0,0,0,0,0,0,0,0,21.85714286,1.666666667
Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,11.28571429,1
Serbia and Montenegro,0,0,26,0,25,0,13,0,0,0,0,0,0,42.85714286,3.5
Saint Vincent and the Grenadines,0,0,0,0,0,0,0,0,0,0,0,0,0,5.142857143,0
Cyprus,0,0,0,0,0,0,0,0,0,0,1,0,0,21.57142857,2
Papua New Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,10.28571429,0
Yemen,0,0,0,0,0,0,0,0,0,0,0,0,0,4.571428571,0
Individual Olympic Athletes,3,0,0,0,0,0,0,0,0,0,0,0,2,13.28571429,0.166666667
Oman,0,0,0,0,0,0,0,0,0,0,0,0,0,4.428571429,0
Fiji,0,0,0,0,0,0,0,0,0,0,0,0,13,20.42857143,0.5
Vanuatu,0,0,0,0,0,0,0,0,0,0,0,0,0,4.142857143,0
Jamaica,4,0,16,0,23,0,13,0,14,0,25,0,30,65.71428571,2.833333333
Moldova,0,0,3,0,2,0,0,0,1,0,2,0,0,27.28571429,7.166666667
Guatemala,0,0,0,0,0,0,0,0,0,0,1,0,0,24,0
Israel,2,0,1,0,1,0,2,0,1,0,0,0,2,51.57142857,4.5
Serbia,0,0,0,0,0,0,0,0,15,0,16,0,54,51.14285714,5.333333333
Monaco,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7.833333333
British Virgin Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,3.571428571,0.166666667
Iceland,0,0,0,0,1,0,0,0,14,0,0,0,0,29.28571429,11.33333333
Costa Rica,0,0,1,0,2,0,0,0,0,0,0,0,0,14.28571429,0.5
Central African Rep.,0,0,0,0,0,0,0,0,0,0,0,0,0,6.857142857,0
Madagascar,0,0,0,0,0,0,0,0,0,0,0,0,0,10.14285714,0.333333333
