Team,1992,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,Avg Summer,Avg Winter
China,468,43,438,88,414,108,518,146,730,127,479,109,499,506.5714286,103.5
Netherlands,297,43,290,48,285,49,264,63,280,65,222,82,329,281,58.33333333
United States of America,968,237,839,284,764,313,726,325,760,341,689,367,719,780.7142857,311.1666667
Finland,244,112,105,132,88,165,67,140,70,146,69,147,67,101.4285714,140.3333333
Norway,270,159,116,149,115,166,60,161,102,190,69,219,77,115.5714286,174
Romania,368,48,284,29,252,41,193,53,172,49,155,40,121,220.7142857,43.33333333
France,670,169,453,159,470,176,461,159,445,196,426,201,512,491,176.6666667
Estonia,97,67,52,48,41,51,45,63,53,64,36,66,49,53.28571429,59.83333333
Morocco,68,0,38,0,55,0,57,0,49,2,67,4,52,55.14285714,1
Spain,582,33,384,24,431,16,423,28,355,35,339,39,363,411,29.16666667
Egypt,83,0,33,0,103,0,104,0,116,0,132,0,137,101.1428571,0
Italy,611,193,460,179,457,198,474,290,459,208,382,227,399,463.1428571,215.8333333
Chad,7,0,4,0,3,0,1,0,2,0,2,0,2,3,0
Azerbaijan,0,0,24,4,32,4,37,2,44,4,59,4,69,37.85714286,3
Russia,0,208,552,197,602,240,593,283,600,279,549,353,406,471.7142857,260
Argentina,157,20,221,6,165,26,179,17,145,20,148,20,232,178.1428571,18.16666667
Cuba,196,0,178,0,271,0,177,0,171,0,118,0,143,179.1428571,0
Belarus,0,74,259,107,231,123,192,70,237,95,185,72,142,178,90.16666667
Greece,102,15,180,16,175,17,499,8,176,12,115,13,104,193,13.5
Cameroon,12,0,19,0,39,2,19,0,32,0,32,0,22,25,0.333333333
Turkey,71,1,61,1,67,5,74,17,71,9,119,11,119,83.14285714,7.333333333
Mexico,174,1,111,0,98,3,137,0,103,2,119,1,139,125.8571429,1.166666667
Chile,27,7,24,6,58,11,29,15,29,10,44,14,47,36.85714286,10.5
Nicaragua,9,0,28,0,6,0,6,0,7,0,6,0,5,9.571428571,0
Hungary,413,28,315,24,238,46,258,32,216,32,201,37,204,263.5714286,33.16666667
Algeria,44,0,47,0,51,0,71,3,57,1,39,0,74,54.71428571,0.666666667
Bahrain,15,0,5,0,4,0,10,0,15,0,14,0,33,13.71428571,0
Pakistan,28,0,24,0,27,0,26,0,22,1,21,1,7,22.14285714,0.333333333
Iraq,8,0,3,0,4,0,24,0,4,0,8,0,20,10.14285714,0
Qatar,30,0,13,0,19,0,15,0,20,0,14,0,42,21.85714286,0
Iran,44,0,18,1,34,2,37,3,55,7,57,7,67,44.57142857,3.333333333
Canada,631,149,408,208,422,215,391,305,446,308,354,359,405,436.7142857,257.3333333
Ireland,81,0,99,10,76,9,55,5,63,7,76,8,93,77.57142857,6.5
