Team,Continent,Bronze,Silver,Gold,Total
China,Asia,191,288,304,783
Netherlands,Europe,115,178,143,436
United States of America,Americas,456,455,906,1817
Finland,Europe,11,12,6,29
Norway,Europe,61,33,60,154
Romania,Europe,85,63,82,230
France,Europe,170,164,148,482
Estonia,Europe,11,4,3,18
Morocco,Africa,10,4,3,17
Spain,Europe,111,175,99,385
Egypt,Africa,7,3,1,11
Italy,Europe,184,165,118,467
Chad,Africa,0,0,0,0
Azerbaijan,Asia,25,12,7,44
Russia,Europe,322,271,295,888
Argentina,Americas,61,52,70,183
Cuba,Americas,79,103,141,323
Belarus,Europe,66,40,18,124
Greece,Europe,23,32,21,76
Cameroon,Africa,0,0,20,20
Turkey,Asia,18,14,16,48
Mexico,Americas,12,14,19,45
Chile,Americas,18,1,3,22
Nicaragua,Americas,0,0,0,0
Hungary,Europe,58,87,111,256
Algeria,Africa,6,4,5,15
Bahrain,Asia,1,1,1,3
Pakistan,Asia,16,0,0,16
Iraq,Asia,0,0,0,0
Qatar,Asia,4,1,0,5
Iran,Asia,14,10,14,38
Canada,Africa,156,87,58,301
Ireland,Europe,6,7,5,18
Australia,Oceania,345,302,227,874
South Africa,Africa,22,19,15,56
Eritrea,Africa,1,0,0,1
Libya,Africa,0,0,0,0
Sudan,Africa,0,1,0,1
Belgium,Europe,14,28,6,48
Djibouti,Africa,0,0,0,0
Palestine,Oceania,0,0,0,0
Comoros,Africa,0,0,0,0
Kazakhstan,Asia,29,22,19,70
Brunei,Asia,0,0,0,0
Kuwait,Oceania,2,0,0,2
Malaysia,Asia,5,11,0,16
United Arab Emirates,Asia,1,0,1,2
Indonesia,Asia,13,14,11,38
Singapore,Asia,4,3,1,8
Uzbekistan,Asia,17,7,9,33
Kyrgyzstan,Oceania,2,1,0,3
Tajikistan,Asia,2,1,1,4
Unified Team,Europe,67,61,92,220
Japan,Asia,189,157,79,425
Ethiopia,Africa,18,8,17,43
Germany,Europe,364,246,328,938
Sweden,Europe,30,120,17,167
United States of America Virgin Islands,Americas,0,0,0,0
Sri Lanka,Asia,0,1,0,1
Armenia,Asia,9,5,2,16
Cote d'Ivoire,Americas,1,0,1,2
Kenya,Africa,20,29,20,69
Nigeria,Africa,40,29,23,92
Brazil,Americas,129,123,100,352
Ukraine,Europe,95,51,42,188
Ghana,Africa,20,0,0,20
Latvia,Oceania,5,9,3,17
Syria,Europe,1,0,1,2
Lebanon,Oceania,0,0,0,0
Mali,Africa,0,0,0,0
Switzerland,Europe,15,25,19,59
India,Asia,9,4,1,14
Georgia,Asia,18,6,8,32
Slovenia,Europe,15,9,6,30
Croatia,Europe,36,48,54,138
Guyana,Americas,0,0,0,0
Portugal,Europe,6,5,2,13
Bulgaria,Europe,39,29,14,82
Poland,Europe,58,60,34,152
Angola,Africa,0,0,0,0
Venezuela,Oceania,5,1,1,7
Colombia,Americas,11,6,5,22
Bangladesh,Asia,0,0,0,0
Jordan,Asia,0,0,1,1
Somalia,Africa,0,0,0,0
Saudi Arabia,Asia,5,1,0,6
Puerto Rico,Americas,3,1,1,5
United Kingdom,Asia,174,173,192,539
Uganda,Africa,1,0,1,2
Tunisia,Africa,5,1,2,8
Honduras,Americas,0,0,0,0
El Salvador,Americas,0,0,0,0
Turkmenistan,Asia,0,0,0,0
Mauritius,Africa,1,0,0,1
Seychelles,Africa,0,0,0,0
Czechoslovakia,Europe,1,3,4,8
Czechia,Europe,32,24,15,71
Niger,Africa,0,1,0,1
Saint Kitts and Nevis,Americas,0,0,0,0
New Zealand,Oceania,41,43,28,112
Liberia,Oceania,0,0,0,0
Suriname,Americas,1,0,0,1
Nepal,Asia,0,0,0,0
Mongolia,Asia,8,5,2,15
Palau,Oceania,0,0,0,0
Lithuania,Europe,48,7,6,61
Namibia,Africa,0,4,0,4
American Samoa,Oceania,0,0,0,0
Togo,Africa,1,0,0,1
Samoa,Oceania,0,0,0,0
Rwanda,Africa,0,0,0,0
Dominica,Americas,0,0,0,0
Benin,Africa,0,0,0,0
Haiti,Americas,0,0,0,0
Denmark,Europe,50,29,85,164
Malta,Europe,0,0,0,0
Austria,Europe,7,13,6,26
Dominican Rep.,Americas,1,2,3,6
Panama,Americas,0,0,1,1
Belize,Americas,0,0,0,0
Trinidad and Tobago,Americas,10,6,6,22
Paraguay,Americas,0,17,0,17
Uruguay,Americas,0,1,0,1
Maldives,Asia,0,0,0,0
South Korea,Asia,134,135,136,405
Mauritania,Africa,0,0,0,0
Peru,Americas,0,1,0,1
Bermuda,Americas,0,0,0,0
Serbia and Montenegro,Europe,26,26,12,64
Saint Vincent and the Grenadines,Americas,0,0,0,0
